## ENSEMBL VARIANT EFFECT PREDICTOR v115.2
## Output produced at 2025-10-17 10:15:07
## Using cache in /Volumes/Seagate8/.vep/homo_sapiens/115_GRCh38
## Using API version 115, DB version ?
## ensembl version 115.266b84d
## ensembl-compara version 115.ae48a7a
## ensembl-funcgen version 115.57f7061
## ensembl-io version 115.25061d3
## ensembl-variation version 115.b7c2637
## 1000genomes version phase3
## COSMIC version 101
## ClinVar version 202502
## HGMD-PUBLIC version 20204
## assembly version GRCh38.p14
## dbSNP version 156
## gencode version GENCODE 49
## genebuild version GENCODE49
## gnomADe version v4.1
## gnomADg version v4.1
## polyphen version 2.2.3
## regbuild version 1.0
## sift version 6.2.1
## Column descriptions:
## Uploaded_variation : Identifier of uploaded variant
## Location : Location of variant in standard coordinate format (chr:start or chr:start-end)
## Allele : The variant allele used to calculate the consequence
## Gene : Stable ID of affected gene
## Feature : Stable ID of feature
## SYMBOL : Gene symbol (e.g. HGNC)
## Consequence : Consequence type
## IMPACT : Subjective impact classification of consequence type
## BIOTYPE : Biotype of transcript or regulatory feature
## EXON : Exon number(s) / total
## INTRON : Intron number(s) / total
## HGVSc : HGVS coding sequence name
## HGVSp : HGVS protein sequence name
## cDNA_position : Relative position of base pair in cDNA sequence
## CDS_position : Relative position of base pair in coding sequence
## Protein_position : Relative position of amino acid in protein
## Amino_acids : Reference and variant amino acids
## Codons : Reference and variant codon sequence
## Existing_variation : Identifier(s) of co-located known variants
## AF : Frequency of existing variant in 1000 Genomes combined population
## gnomAD_AF : ?
## ClinSig : ?
## Phenotype : ?
## VEP command-line: vep --assembly GRCh38 --cache --database 0 --dir_cache [PATH]/.vep --fasta [PATH]/Homo_sapiens.GRCh38.dna.toplevel.fa.gz --fields Uploaded_variation,Location,Allele,Gene,Feature,SYMBOL,Consequence,IMPACT,BIOTYPE,EXON,INTRON,HGVSc,HGVSp,cDNA_position,CDS_position,Protein_position,Amino_acids,Codons,Existing_variation,AF,gnomAD_AF,ClinSig,Phenotype --force_overwrite --input_file [PATH]/brca_input.vcf --no_stats --offline --output_file [PATH]/brca_vep_output.tsv --tab
#Uploaded_variation	Location	Allele	Gene	Feature	SYMBOL	Consequence	IMPACT	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	AF	gnomAD_AF	ClinSig	Phenotype
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000642945	-	missense_variant,NMD_transcript_variant	MODERATE	-	-	-	-	-	155	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000644379	-	missense_variant	MODERATE	-	-	-	-	-	182	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000644555	-	5_prime_UTR_variant	MODIFIER	-	-	-	-	-	188	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000652672	-	5_prime_UTR_variant	MODIFIER	-	-	-	-	-	295	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000657841	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000700182	-	missense_variant	MODERATE	-	-	-	-	-	161	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000700183	-	missense_variant,NMD_transcript_variant	MODERATE	-	-	-	-	-	161	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000700184	-	non_coding_transcript_exon_variant	MODIFIER	-	-	-	-	-	312	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000700185	-	non_coding_transcript_exon_variant	MODIFIER	-	-	-	-	-	188	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000700186	-	non_coding_transcript_exon_variant	MODIFIER	-	-	-	-	-	188	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000713676	-	missense_variant	MODERATE	-	-	-	-	-	142	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790195	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790196	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790197	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790198	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790199	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790200	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790201	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790202	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790203	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790204	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790205	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000790206	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000899954	-	missense_variant	MODERATE	-	-	-	-	-	295	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000921914	-	missense_variant	MODERATE	-	-	-	-	-	294	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000921915	-	missense_variant	MODERATE	-	-	-	-	-	719	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000921916	-	missense_variant	MODERATE	-	-	-	-	-	165	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000945268	-	missense_variant	MODERATE	-	-	-	-	-	222	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000945269	-	missense_variant	MODERATE	-	-	-	-	-	305	69	23	E/D	gaG/gaC	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000189167	ENST00000345108	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000380152	-	start_lost	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000470094	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000528762	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000530893	-	5_prime_UTR_variant	MODIFIER	-	-	-	-	-	203	-	-	-	-	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000189167	ENST00000533490	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000544455	-	start_lost	HIGH	-	-	-	-	-	100	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000614259	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	1	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000665585	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000666593	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000680887	-	start_lost	HIGH	-	-	-	-	-	126	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000700199	-	non_coding_transcript_exon_variant	MODIFIER	-	-	-	-	-	125	-	-	-	-	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000700200	-	non_coding_transcript_exon_variant	MODIFIER	-	-	-	-	-	125	-	-	-	-	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000700201	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	123	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000700202	-	start_lost	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000713677	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	212	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000713678	-	start_lost	HIGH	-	-	-	-	-	212	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000713679	-	start_lost,NMD_transcript_variant	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
13_32316461_C/T	13:32316461	T	ENSG00000139618	ENST00000713680	-	start_lost	HIGH	-	-	-	-	-	200	1	1	M/L	Atg/Ttg	-	-	-	-	-
